comp_id,smiles
TM54,O=C(NCC1=CC=C(C=C1)CNCCCNC2CCCCC2)[C@H](CCCCNC(C)C)NCC3=CC=CC=N3
TM55,O=C(NCC1=CC=C(C=C1)CNCCCNC2CCCCC2)[C@H](CCCCNC3CCCCC3)NCC4=CC=CC=N4
TM56,O=C(NCC1=CC=C(C=C1)CNCCCNC2CCCCC2)[C@H](CCCNC3CCCCC3)NCC4=CC=CC=N4
TM57,O=C(NCC1=CC=C(C=C1)CNCCCNC2CCCCC2)[C@H](C)NCC3=CC=CC=N3
TM58,O=C(NCC1=CC=C(C=C1)CNCCCNC2CCCCC2)[C@H](CC(C)C)NCC3=CC=CC=N3
TM59,O=C(NCC1=CC=C(C=C1)CNCCCNC2CCCCC2)[C@H](CO)NCC3=CC=CC=N3
TM60,O=C(NCC1=CC=C(C=C1)CNCCCNC2CCCCC2)[C@H](CC(O)=O)NCC3=CC=CC=N3
TM61,O=C(NCC1=CC=C(C=C1)CNCCCNC2CCCCC2)[C@H](CC3=CNC=N3)NCC4=CC=CC=N4
TM62,O=C(NCC1=CC=C(C=C1)CNCCCNC2CCCCC2)[C@H](CC3=CNC4=C3C=CC=C4)NCC5=CC=CC=N5
TM63,O=C(NCC1=CC=C(C=C1)CNCCCNC2CCCCC2)[C@H](CC3=CC=C(C=C3)O)NCC4=CC=CC=N4
TM64,O=C(NCC1=CC=C(C=C1)CNCCCNC2CCCCC2)[C@H](CC3=CC4=C(C=C3)C=CC=C4)NCC5=CC=CC=N5
TM65,O=C(NCC1=CC=C(CNCCCNC2CCCCC2)C=C1)[C@@H]3CCCN3CC4=CC=CC=N4
TM66,O=C([C@@H]1CC(C=CC=C2)=C2CN1CC3=CC=CC=N3)NCC4=CC=C(CNCCCNC5CCCCC5)C=C4
TM67,O=C([C@H](CCCNC(N)=N)N)NCC1=CC=C(CNCCCNC2CCCCC2)C=C1
TM68,O=C([C@@H](NC([C@@H](N)CC1=CC=C(O)C=C1)=O)CCCNC(N)=N)NCC2=CC=C(CNCCCNC3CCCCC3)C=C2
TM69,O=C([C@@H](NC([C@@H](N)CC1=CC(C=CC=C2)=C2C=C1)=O)CCCNC(N)=N)NCC3=CC=C(CNCCCNC4CCCCC4)C=C3
TM70,O=C([C@@H](NC([C@@H](N)CCCNC(N)=N)=O)CC1=CC=C(C=CC=C2)C2=C1)NCC3=CC=C(CNCCCNC4CCCCC4)C=C3
TM71,O=C([C@@H](NC([C@@H](N)CCCNC(N)=N)=O)CC1=CC=C(C=CC=C2)C2=C1)NCC3=CC=C(CNCCCNC4CCCCC4)C=C3
TM72,O=C([C@@H](NC([C@H](CC1=CC(C=CC=C2)=C2C=C1)N)=O)CCCNC(N)=N)NCC3=CC=C(CNC([C@H](CCCNC(N)=N)NC([C@H](CC4=CC(C=CC=C5)=C5C=C4)N)=O)=O)C=C3
TM73,NC(NCCC[C@H](NCC1=CC=CC=N1)C(NCC2=CC=C(CNC3CCCCC3)C=C2)=O)=N
TM74,NC(NCCC[C@H](NCC1=CC=CC=N1)C(NCC2=CC=C(C3(CC3)NCCCNC4CCCCC4)C=C2)=O)=N
TM75,NC(NCCC[C@H](NCC1=CC=CC=N1)C(NCC2=CC=C(CN3C[C@@H](CNC4CCCCC4)CCC3)C=C2)=O)=N
TM76,NC(NCCC[C@H](NCC1=CC=CC=N1)C(NCC2=CC=CC=C2)=O)=N
TM77,O=C(NCC1=CC=C(CN(CCCNC2CCCCC2)C)C=C1)[C@@H](NCC3=CC=CC=N3)CCCNC(N)=N
TM78,C[C@H](NCC1=CC=CC=N1)C(NCC2=CC=C(CNCCCNC3CCCCC3)C=C2)=O
TM79,C[C@H](NCC1=CC=CC=N1)C(NCC2=CC=C(CN(C)CCCNC3CCCCC3)C=C2)=O
CHEMBL1088867,NCc1cccc(CN(Cc2nc3ccccc3[nH]2)C2CCCc3cccnc32)c1
CHEMBL1088912,NCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1088913,NCCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1088916,NCCCCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1089434,c1ccc(CNCc2ccc(CN(Cc3nc4ccccc4[nH]3)C3CCCc4cccnc43)cc2)nc1
CHEMBL1089844,NC/C=C\CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1089845,NC/C=C/CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1089846,NCC#CCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1091591,CN1CCC(n2c(CN(C)C3CCCc4cccnc43)nc3ccccc32)CC1
CHEMBL1092301,CN(C)CCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1092302,CNCCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1092324,NCc1ccc(CN(Cc2nc3ccccc3[nH]2)C2CCCc3cccnc32)cc1
CHEMBL1092596,NCCCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1092628,N#CCCCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1092629,NCCCC(=O)N(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1092637,CC(C)N1CCC[C@H](Cn2c(CN(C)[C@H]3CCCc4cccnc43)nc3ccccc32)C1
CHEMBL1093008,NCc1ccccc1CN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1093137,c1ccc(CNCc2ccc(CN(Cc3nc4ccccc4[nH]3)[C@H]3CCCc4cccnc43)cc2)nc1
CHEMBL1093149,NCCCCN(Cc1nc2ccccc2[nH]1)[C@@H]1CCCc2cccnc21
CHEMBL1093302,NCCN(Cc1nc2ccccc2[nH]1)C1CCCc2cccnc21
CHEMBL1094864,CN(C)CC(=O)NCc1c(CN(C)[C@H]2CCCc3cccnc32)ncc2ccccc12
CHEMBL1096504,CN(C)CCCc1c(CN(C)[C@H]2CCCc3cccnc32)ncc2ccccc12
CHEMBL1099015,NCCCCN(Cc1ccccn1)C1CCCc2cccnc21
CHEMBL1202230,Br.c1cc2nc(c1)CNCCN(Cc1ccc(CN3CCNCc4cccc(n4)CNCC3)cc1)CCNC2
CHEMBL1202231,Br.c1cc2nc(c1)CCNCCN(Cc1ccc(CN3CCNCCc4cccc(n4)CCNCC3)cc1)CCNCC2
CHEMBL122226,Cc1ccc(CN2CCCNCCNCCCNCC2)cc1
CHEMBL1242210,CN1CCN(c2cccc3nc(CN(C)[C@H]4CCCc5cccnc54)c(CO)n23)CC1
CHEMBL1242211,CCCN(CCC)CCCCN(C)Cc1ccc(CN(Cc2ncc[nH]2)Cc2nccn2C)cc1
CHEMBL1256528,N=C(N)NCCCC(NC(=O)[C@H]1CSSC[C@@H](NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)c2ccc(F)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCNC(=O)CCC(=O)NCCCCN2CCC(NC(=O)C(=O)Nc3ccc(Cl)cc3)CC2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(N)=O)C(=O)N1)C(N)=O
